CellID,CellStage,class,CellProtocol
x1_S3c_b1.bcCKEW,3.0,pdx1,x1
x1_S3c_b1.bcFZVY,3.0,pdx1,x1
x1_S3c_b1.bcFMUF,3.0,pdx1,x1
x1_S3c_b1.bcBXNE,3.0,pdx1,x1
x1_S3c_b1.bcHTVW,3.0,repl,x1
x1_S3c_b1.bcCLUN,3.0,repl,x1
x1_S3c_b1.bcHWJL,3.0,pdx1,x1
x1_S3c_b1.bcHUOV,3.0,pdx1,x1
x1_S3c_b1.bcHQRF,3.0,pdx1,x1
x1_S3c_b1.bcATHJ,3.0,pdx1,x1
x1_S3c_b1.bcEBKK,3.0,repl,x1
x1_S3c_b1.bcGUIL,3.0,pdx1,x1
x1_S3c_b1.bcHRHR,3.0,pdx1,x1
x1_S3c_b1.bcIJRF,3.0,pdx1,x1
x1_S3c_b1.bcGYZM,3.0,pdx1,x1
x1_S3c_b1.bcHUFI,3.0,pdx1,x1
x1_S3c_b1.bcFJMY,3.0,pdx1,x1
x1_S3c_b1.bcGYPP,3.0,repl,x1
x1_S3c_b1.bcDSIB,3.0,pdx1,x1
x1_S3c_b1.bcHVHY,3.0,pdx1,x1
x1_S3c_b1.bcCMJV,3.0,repl,x1
x1_S3c_b1.bcHFBJ,3.0,pdx1,x1
x1_S3c_b1.bcBEVD,3.0,pdx1,x1
x1_S3c_b1.bcFHSG,3.0,repl,x1
x1_S3c_b1.bcGWVS,3.0,pdx1,x1
x1_S3c_b1.bcEFFE,3.0,pdx1,x1
x1_S3c_b1.bcCNKD,3.0,pdx1,x1
x1_S3c_b1.bcHZEH,3.0,repl,x1
x1_S3c_b1.bcIBQU,3.0,repl,x1
x1_S3c_b1.bcBRCA,3.0,repl,x1
x1_S3c_b1.bcCHGI,3.0,repl,x1
x1_S3c_b1.bcDQOH,3.0,pdx1,x1
x1_S3c_b1.bcFDXE,3.0,repl,x1
x1_S3c_b1.bcBRDD,3.0,repl,x1
x1_S3c_b1.bcBTFO,3.0,pdx1,x1
x1_S3c_b1.bcAENV,3.0,repl,x1
x1_S3c_b1.bcDMND,3.0,pdx1,x1
x1_S3c_b1.bcIBNM,3.0,repl,x1
x1_S3c_b1.bcDJNG,3.0,pdx1,x1
x1_S3c_b1.bcBBPH,3.0,pdx1,x1
x1_S3c_b1.bcFSFJ,3.0,pdx1,x1
x1_S3c_b1.bcFLTD,3.0,repl,x1
x1_S3c_b1.bcGXTD,3.0,pdx1,x1
x1_S3c_b1.bcAGLX,3.0,pdx1,x1
x1_S3c_b1.bcDSFG,3.0,pdx1,x1
x1_S3c_b1.bcENSD,3.0,pdx1,x1
x1_S3c_b1.bcEJMD,3.0,pdx1,x1
x1_S3c_b1.bcGIJQ,3.0,pdx1,x1
x1_S3c_b1.bcFCUA,3.0,repl,x1
x1_S3c_b1.bcHPKP,3.0,pdx1,x1
x1_S3c_b1.bcCCKF,3.0,pdx1,x1
x1_S3c_b1.bcCLCX,3.0,repl,x1
x1_S3c_b1.bcHPKV,3.0,pdx1,x1
x1_S3c_b1.bcFPGB,3.0,repl,x1
x1_S3c_b1.bcFYAQ,3.0,pdx1,x1
x1_S3c_b1.bcIJSG,3.0,pdx1,x1
x1_S3c_b1.bcHMMA,3.0,pdx1,x1
x1_S3c_b1.bcEZCM,3.0,repl,x1
x1_S3c_b1.bcDNME,3.0,pdx1,x1
x1_S3c_b1.bcFTTV,3.0,pdx1,x1
x1_S3c_b1.bcGGHW,3.0,repl,x1
x1_S3c_b1.bcCVOR,3.0,pdx1,x1
x1_S3c_b1.bcHOKU,3.0,pdx1,x1
x1_S3c_b1.bcGUFG,3.0,repl,x1
x1_S3c_b1.bcDSHH,3.0,pdx1,x1
x1_S3c_b1.bcCTNH,3.0,repl,x1
x1_S3c_b1.bcHJIE,3.0,repl,x1
x1_S3c_b1.bcEDSM,3.0,pdx1,x1
x1_S3c_b1.bcGITV,3.0,pdx1,x1
x1_S3c_b1.bcARKW,3.0,pdx1,x1
x1_S3c_b1.bcFTTH,3.0,pdx1,x1
x1_S3c_b1.bcDZEG,3.0,pdx1,x1
x1_S3c_b1.bcGLBE,3.0,repl,x1
x1_S3c_b1.bcHDXW,3.0,repl,x1
x1_S3c_b1.bcASOF,3.0,repl,x1
x1_S3c_b1.bcIFFT,3.0,pdx1,x1
x1_S3c_b1.bcBLSR,3.0,pdx1,x1
x1_S3c_b1.bcIIRQ,3.0,pdx1,x1
x1_S3c_b1.bcCDEE,3.0,repl,x1
x1_S3c_b1.bcCDVL,3.0,pdx1,x1
x1_S3c_b1.bcFACH,3.0,repl,x1
x1_S3c_b1.bcHOMF,3.0,pdx1,x1
x1_S3c_b1.bcEIAY,3.0,repl,x1
x1_S3c_b1.bcFTLS,3.0,pdx1,x1
x1_S3c_b1.bcBZKI,3.0,repl,x1
x1_S3c_b1.bcIHHV,3.0,pdx1,x1
x1_S3c_b1.bcFHPO,3.0,pdx1,x1
x1_S3c_b1.bcHEEC,3.0,pdx1,x1
x1_S3c_b1.bcGANB,3.0,repl,x1
x1_S3c_b1.bcHTXX,3.0,repl,x1
x1_S3c_b1.bcCWCQ,3.0,repl,x1
x1_S3c_b1.bcETIR,3.0,repl,x1
x1_S3c_b1.bcBCXV,3.0,pdx1,x1
x1_S3c_b1.bcHSSD,3.0,repl,x1
x1_S3c_b1.bcFAPY,3.0,repl,x1
x1_S3c_b1.bcFXKW,3.0,repl,x1
x1_S3c_b1.bcAMLI,3.0,pdx1,x1
x1_S3c_b1.bcCSAF,3.0,pdx1,x1
x1_S3c_b1.bcGTJU,3.0,pdx1,x1
x1_S3c_b1.bcIECO,3.0,pdx1,x1
x1_S3c_b1.bcEEER,3.0,pdx1,x1
x1_S3c_b1.bcCERV,3.0,pdx1,x1
x1_S3c_b1.bcGDXH,3.0,pdx1,x1
x1_S3c_b1.bcGUTQ,3.0,pdx1,x1
x1_S3c_b1.bcCBIX,3.0,repl,x1
x1_S3c_b1.bcDHFJ,3.0,repl,x1
x1_S3c_b1.bcHZXU,3.0,pdx1,x1
x1_S3c_b1.bcIDQX,3.0,pdx1,x1
x1_S3c_b1.bcHKJS,3.0,pdx1,x1
x1_S3c_b1.bcHTMF,3.0,repl,x1
x1_S3c_b1.bcDXXP,3.0,repl,x1
x1_S3c_b1.bcCTCV,3.0,repl,x1
x1_S3c_b1.bcFXGU,3.0,pdx1,x1
x1_S3c_b1.bcDNNX,3.0,pdx1,x1
x1_S3c_b1.bcIFJK,3.0,pdx1,x1
x1_S3c_b1.bcHYVZ,3.0,pdx1,x1
x1_S3c_b1.bcDANK,3.0,pdx1,x1
x1_S3c_b1.bcGJOZ,3.0,pdx1,x1
x1_S3c_b1.bcICZT,3.0,pdx1,x1
x1_S3c_b1.bcFOAE,3.0,pdx1,x1
x1_S3c_b1.bcHTTB,3.0,repl,x1
x1_S3c_b1.bcCIEN,3.0,repl,x1
x1_S3c_b1.bcCNJG,3.0,repl,x1
x1_S3c_b1.bcGDMB,3.0,pdx1,x1
x1_S3c_b1.bcBLQD,3.0,pdx1,x1
x1_S3c_b1.bcDMFM,3.0,repl,x1
x1_S3c_b1.bcDNOV,3.0,pdx1,x1
x1_S3c_b1.bcCXXO,3.0,repl,x1
x1_S3c_b1.bcADQE,3.0,pdx1,x1
x1_S3c_b1.bcBXVS,3.0,pdx1,x1
x1_S3c_b1.bcDCPN,3.0,repl,x1
x1_S3c_b1.bcANNV,3.0,pdx1,x1
x1_S3c_b1.bcEKVD,3.0,repl,x1
x1_S3c_b1.bcBIMP,3.0,pdx1,x1
x1_S3c_b1.bcFWLC,3.0,repl,x1
x1_S3c_b1.bcEJCL,3.0,repl,x1
x1_S3c_b1.bcGQEF,3.0,pdx1,x1
x1_S3c_b1.bcFXTK,3.0,repl,x1
x1_S3c_b1.bcIEZD,3.0,pdx1,x1
x1_S3c_b1.bcFCUU,3.0,pdx1,x1
x1_S3c_b1.bcDJIL,3.0,pdx1,x1
x1_S3c_b1.bcCSJO,3.0,repl,x1
x1_S3c_b1.bcCRFU,3.0,pdx1,x1
x1_S3c_b1.bcDKPU,3.0,repl,x1
x1_S3c_b1.bcFRZJ,3.0,pdx1,x1
x1_S3c_b1.bcEFMP,3.0,pdx1,x1
x1_S3c_b1.bcHCKC,3.0,pdx1,x1
x1_S3c_b1.bcCXVC,3.0,repl,x1
x1_S3c_b1.bcEPJI,3.0,pdx1,x1
x1_S3c_b1.bcFREM,3.0,pdx1,x1
x1_S3c_b1.bcCVTK,3.0,pdx1,x1
x1_S3c_b1.bcFORY,3.0,pdx1,x1
x1_S3c_b1.bcDTMP,3.0,pdx1,x1
x1_S3c_b1.bcGNGL,3.0,pdx1,x1
x1_S3c_b1.bcHFDH,3.0,pdx1,x1
x1_S3c_b1.bcCKTQ,3.0,pdx1,x1
x1_S3c_b1.bcDSXU,3.0,pdx1,x1
x1_S3c_b1.bcBDVU,3.0,repl,x1
x1_S3c_b1.bcFDAO,3.0,pdx1,x1
x1_S3c_b1.bcHTNO,3.0,repl,x1
x1_S3c_b1.bcEWSM,3.0,pdx1,x1
x1_S3c_b1.bcCHLI,3.0,pdx1,x1
x1_S3c_b1.bcGFGA,3.0,pdx1,x1
x1_S3c_b1.bcHZFF,3.0,pdx1,x1
x1_S3c_b1.bcALFL,3.0,pdx1,x1
x1_S3c_b1.bcFQLD,3.0,repl,x1
x1_S3c_b1.bcCMQV,3.0,pdx1,x1
x1_S3c_b1.bcBLDS,3.0,pdx1,x1
x1_S3c_b1.bcEHCW,3.0,repl,x1
x1_S3c_b1.bcEDMC,3.0,repl,x1
x1_S3c_b1.bcHKZM,3.0,pdx1,x1
x1_S3c_b1.bcEIAJ,3.0,pdx1,x1
x1_S3c_b1.bcGOPS,3.0,repl,x1
x1_S3c_b1.bcIHVI,3.0,pdx1,x1
x1_S3c_b1.bcBSWH,3.0,pdx1,x1
x1_S3c_b1.bcGORW,3.0,pdx1,x1
x1_S3c_b1.bcEKBO,3.0,pdx1,x1
x1_S3c_b1.bcAJXQ,3.0,pdx1,x1
x1_S3c_b1.bcDKND,3.0,pdx1,x1
x1_S3c_b1.bcBOVC,3.0,pdx1,x1
x1_S3c_b1.bcCDLI,3.0,repl,x1
x1_S3c_b1.bcDJQQ,3.0,pdx1,x1
x1_S3c_b1.bcEVWV,3.0,pdx1,x1
x1_S3c_b1.bcAKQO,3.0,pdx1,x1
x1_S3c_b1.bcFCTP,3.0,pdx1,x1
x1_S3c_b1.bcHABG,3.0,repl,x1
x1_S3c_b1.bcEOVZ,3.0,pdx1,x1
x1_S3c_b1.bcGZRH,3.0,pdx1,x1
x1_S3c_b1.bcGQPJ,3.0,repl,x1
x1_S3c_b1.bcBZCR,3.0,pdx1,x1
x1_S3c_b1.bcGUNN,3.0,repl,x1
x1_S3c_b1.bcHLQX,3.0,pdx1,x1
x1_S3c_b1.bcAIWX,3.0,pdx1,x1
x1_S3c_b1.bcHEIS,3.0,repl,x1
x1_S3c_b1.bcCOAQ,3.0,repl,x1
x1_S3c_b1.bcAWTI,3.0,pdx1,x1
x1_S3c_b1.bcDEGY,3.0,pdx1,x1
x1_S3c_b1.bcIEZS,3.0,repl,x1
x1_S3c_b1.bcCTRU,3.0,repl,x1
x1_S3c_b1.bcEUSX,3.0,pdx1,x1
x1_S3c_b1.bcHGXZ,3.0,pdx1,x1
x1_S3c_b1.bcFVTE,3.0,pdx1,x1
x1_S3c_b1.bcHVLH,3.0,repl,x1
x1_S3c_b1.bcEZIT,3.0,repl,x1
x1_S3c_b1.bcATTA,3.0,repl,x1
x1_S3c_b1.bcHUEO,3.0,pdx1,x1
x1_S3c_b1.bcEUBT,3.0,repl,x1
x1_S3c_b1.bcGPOH,3.0,pdx1,x1
x1_S3c_b1.bcGZIS,3.0,pdx1,x1
x1_S3c_b1.bcEDRP,3.0,pdx1,x1
x1_S3c_b1.bcAQBR,3.0,repl,x1
x1_S3c_b1.bcGGPB,3.0,pdx1,x1
x1_S3c_b1.bcDOLY,3.0,pdx1,x1
x1_S3c_b1.bcDFGL,3.0,pdx1,x1
x1_S3c_b1.bcICJH,3.0,pdx1,x1
x1_S3c_b1.bcHVRX,3.0,repl,x1
x1_S3c_b1.bcDASY,3.0,repl,x1
x1_S3c_b1.bcFBHL,3.0,pdx1,x1
x1_S3c_b1.bcDSWM,3.0,pdx1,x1
x1_S3c_b1.bcHOZA,3.0,pdx1,x1
x1_S3c_b1.bcBPYF,3.0,pdx1,x1
x1_S3c_b1.bcGRUW,3.0,pdx1,x1
x1_S3c_b1.bcHEFX,3.0,repl,x1
x1_S3c_b1.bcGRKJ,3.0,pdx1,x1
x1_S3c_b1.bcHHFR,3.0,pdx1,x1
x1_S3c_b1.bcBNQQ,3.0,repl,x1
x1_S3c_b1.bcGDJI,3.0,pdx1,x1
x1_S3c_b1.bcFIXY,3.0,pdx1,x1
